,ACTB,AKT1,CD36,CD44,IL6,INS,PTPRC,TFRC,TNF,label
134,29531.5948,94.3151,42.1777,7257.6328,1.9803,0.0,719.0794,560.0929,1.1,4
135,4429.0547,82.9121,57.1275,4349.5382,58.805,1.1694,6493.2802,1122.3357,0.0,4
136,27307.5382,212.1578,4.0617,1314.029,0.0,0.0,10134.8315,1113.9217,3.1372,4
137,47344.0694,333.1959,42.8728,8856.05,8.8693,12.7128,7564.1141,2227.939,2.5961,4
138,23099.0343,233.1006,26.6739,3897.1771,12.6192,0.0,5250.8106,1148.0599,2.6741,4
139,15416.2278,152.6896,5.8555,2545.4123,63.5933,0.0,5588.7396,328.8959,0.9726,4
140,21626.5482,356.5533,21.383,1144.5021,0.0,0.0,13359.0313,2313.2725,6.4787,4
141,16906.479,216.3074,41.9036,4072.0579,18.5296,0.0,7004.4472,2356.5125,3.2409,4
142,19199.212,300.492,23.2081,3712.4479,58.6163,0.0,6941.551,874.45,1.1178,4
143,24378.4614,373.7959,20.2748,3404.5287,79.2338,0.0,4046.2216,381.0564,3.0588,4
144,20563.6962,260.6287,44.5502,2250.4219,2.3361,0.0,15172.9951,2254.5886,2.5227,4
145,16880.1597,287.2761,59.2505,4787.3388,26.9374,0.0,11292.0647,1668.8087,1.535,4
146,19824.0144,238.777,56.5482,5149.4011,14.8816,0.0,9261.7605,1570.4906,1.5325,4
147,19546.8814,418.1666,27.6932,3142.1992,38.8157,0.0,9213.8872,508.8588,0.0,4
148,1026.9056,235.1055,110.4729,124.5873,10.7162,1.1055,136.6763,210.0919,2.6039,0
149,1328.743,151.1973,70.56,111.721,11.5613,5.4873,159.1781,125.08,0.5242,0
150,844.8592,230.5242,186.712,206.4589,34.9789,14.1187,158.8566,384.9039,9.2535,0
151,223.5548,268.8419,124.5428,40.933,23.7617,11.2635,53.1328,336.7502,5.6241,0
152,6096.0228,206.3955,72.8705,548.1679,30.4251,9.5884,1556.5121,340.3424,4.1532,0
153,6682.0294,89.1814,26.53,526.7427,18.6438,0.0,1253.2251,187.5467,3.1405,0
154,413.04,152.0235,118.8492,70.2976,42.5857,10.8252,88.1859,275.9175,3.7633,0
155,360.654,258.0888,100.6601,64.7306,41.5235,22.1552,121.8965,266.667,7.1188,0
156,6498.1598,368.959,131.8221,195.4146,20.3129,9.5275,507.3232,320.2531,4.027,0
157,10486.7116,546.2868,30.0575,298.5538,7.434,40.212,154.7533,89.4294,3.0875,0
158,183.4162,200.8075,98.092,35.0904,35.8886,8.4809,33.1867,294.6377,6.5817,0
159,4529.6246,406.8155,102.5683,243.27,14.1481,39.3619,534.2803,331.1211,7.165,0
160,3587.0,838.0,5206.0,46.0,1.0,0.0,14.0,1096.0,2.0,0
161,8489.0,1259.0,4889.0,147.0,5.0,0.0,39.0,2616.0,0.0,0
162,6021.0,1190.0,4817.0,93.0,0.0,0.0,26.0,439.0,4.0,0
163,6564.0,927.0,4289.0,88.0,14.0,0.0,18.0,1134.0,0.0,0
164,4591.0,968.0,2891.0,111.0,1.0,0.0,14.0,645.0,0.0,0
165,7063.0,1033.0,7352.0,271.0,13.0,0.0,100.0,521.0,3.0,2
166,13136.0,1656.0,10432.0,193.0,19.0,0.0,107.0,632.0,0.0,2
167,9255.0,954.0,7071.0,301.0,73.0,0.0,79.0,510.0,0.0,2
168,14038.0,1744.0,9405.0,375.0,10.0,0.0,129.0,513.0,0.0,2
169,15779.0,1213.0,8871.0,635.0,11.0,0.0,244.0,505.0,0.0,2
170,10541.0,1678.0,4951.0,430.0,84.0,0.0,255.0,1336.0,14.0,2
