,0
MEF2C,0.0011640211640211642
DPEP2NB,0.001157133464825772
RNA5-8SN2,0.0011561561561561561
MADD,0.001155042779362198
TAS2R15P,0.0011503267973856212
ZNF2,0.0011496827174318773
CCN4,0.0011490015360983105
ZNF703,0.0011481481481481477
CNGA1,0.0011451706188548288
LINC01433,0.0011439075630252096
EDEM2,0.0011423245906004528
FAM230H,0.0011405529953917048
SH3BP5,0.0011405529953917048
RPL5P23,0.001139705882352941
LAMA1,0.0011381001932510772
BAG6,0.0011341744675078006
SMN1,0.0011316872427983538
LINC02556,0.0011290298395561563
AP4S1,0.0011278195488721807
PPP1R17,0.0011169389820705614
FAM149A,0.0011165413533834588
NNAT,0.001115300821183174
FAP,0.0011142386642156864
C4B,0.0011048743201585685
CXCL11,0.0011016006932522363
ERVMER34-1,0.001079554738562092
HINT2,0.001076202999279922
MYOF,0.0010703136613646504
PTPN13,0.001067745197168857
RUNX1,0.0010658756643183792
NUDT6,0.001060963794897557
SMAD6,0.0010131152372531685
SORCS1,0.0010115828761768952
RPL37P9,0.0010016260162601625
MED15,0.0009821428571428572
CTAGE7P,0.0009777777777777777
LOC392266,0.0009705882352941174
NRSN1,0.0009568188878533705
RNF8,0.0009568188878533704
KDM3B,0.0009401709401709401
GPR82,0.0009401709401709401
HHIP,0.0009198606271777005
MS4A3,0.0008954008954008953
INTS9,0.0008861439312567134
EVI2B,0.0008277094551696569
SPDYE1,0.0007986386840612593
RPL26P3,0.000795529257067718
DDA1,0.0007834757834757833
LETM2,0.0007793522267206487
TARID,0.0007521367521367521
ZFP30,0.0007299539170506917
ZMYND11,0.0007174686661866158
SUMO4,0.0007174686661866157
SPINK5,0.0007030075187969926
CGB1,0.0006843699109524971
TMEM107,0.0006647727272727266
JUP,0.0006518211959461054
MIR643,0.0006518211959461053
PRKCZ,0.0006417112299465243
RPS20P9,0.0006395348837209308
MIR6744,0.0006391723356009067
PHBP5,0.0006375313283208014
TMPO,0.0006370656370656377
GUCY2D,0.0006360544217687074
PFKFB4,0.0006302662622177284
SULT1C2P2,0.0006285714285714283
OTX2,0.0006278048780487801
NCMAP,0.0006274801587301591
ZNF433,0.00062649967040211
TMEM97,0.0006235827664399094
APOF,0.0006187499999999995
S100A8,0.0006179149797570847
